,bids_price,bids_qty,asks_price,asks_qty
99,9482.10000000,0.00111100,9494.97000000,0.11000000
100,9482.08000000,0.21975300,9495.00000000,1.21719000
101,9482.00000000,0.97639500,9495.01000000,0.02443600
102,9481.99000000,0.49437400,9495.05000000,0.21950700
103,9481.88000000,7.69995600,9495.07000000,0.60023900
104,9481.78000000,0.15812400,9495.08000000,0.01216900
105,9481.65000000,0.21700000,9495.12000000,0.29100000
106,9481.51000000,0.03164100,9495.18000000,0.05487300
107,9481.50000000,0.34926000,9495.19000000,0.29400000
108,9481.33000000,0.15300000,9495.27000000,7.56900000
109,9481.06000000,0.30600000,9495.33000000,0.60410400
110,9480.84000000,0.18003800,9495.37000000,0.21062800
111,9480.75000000,0.00977900,9495.82000000,0.88100000
112,9480.67000000,0.56510800,9495.84000000,0.12500000
113,9480.52000000,0.83024000,9495.89000000,0.05000000
114,9480.19000000,0.21949600,9495.95000000,0.00285000
115,9480.10000000,1.05033000,9496.00000000,0.47833900
116,9480.01000000,0.00375300,9496.24000000,0.05270800
117,9480.00000000,2.13612300,9496.39000000,0.03671800
118,9479.89000000,0.04000000,9496.55000000,0.00783500
119,9479.84000000,0.00221500,9496.62000000,0.14850000
120,9479.83000000,0.03000000,9496.68000000,0.12655600
121,9479.77000000,0.31646300,9497.00000000,0.14400000
122,9479.59000000,0.04693100,9497.05000000,0.02299500
123,9479.21000000,0.11000000,9497.16000000,0.26200000
124,9479.14000000,0.15000000,9497.38000000,0.01313600
125,9479.00000000,0.00500000,9497.42000000,0.37265300
126,9478.95000000,0.05488200,9497.43000000,1.28420000
127,9478.88000000,0.30000000,9497.45000000,4.84000000
128,9478.83000000,0.00175800,9497.46000000,0.01283400
129,9478.76000000,0.31633700,9497.55000000,0.01103100
130,9478.70000000,0.01086900,9497.58000000,0.01026300
131,9478.54000000,0.32000000,9497.60000000,0.01367900
132,9478.28000000,0.01252900,9497.66000000,0.01330000
133,9478.21000000,0.00535100,9497.77000000,0.58924300
134,9478.12000000,0.00201900,9497.78000000,0.25000000
135,9478.05000000,0.21101300,9497.81000000,2.58965500
136,9478.04000000,0.00333300,9497.91000000,1.10000000
137,9478.00000000,1.06000000,9497.95000000,0.00410000
138,9477.95000000,0.05000000,9498.02000000,0.01125400
139,9477.61000000,1.15399800,9498.12000000,0.49437300
140,9477.09000000,0.01214000,9498.14000000,0.14700000
141,9477.00000000,0.17857700,9498.18000000,0.01115500
142,9476.99000000,2.00000000,9498.20000000,0.00963700
143,9476.97000000,0.00309000,9498.24000000,0.01237500
144,9476.90000000,0.30600000,9498.31000000,0.00638100
145,9476.88000000,0.30000000,9498.32000000,0.01346700
146,9476.86000000,0.29700000,9498.38000000,0.31601500
147,9476.75000000,0.01085900,9498.53000000,0.01049100
148,9476.68000000,0.01051000,9498.73000000,0.21055400
149,9476.44000000,2.00000000,9498.74000000,0.00112300
150,9476.10000000,6.66800000,9498.81000000,0.00221000
151,9476.01000000,0.61177700,9498.86000000,1.06000000
152,9476.00000000,0.45804100,9498.95000000,0.01032000
153,9475.80000000,0.00492000,9499.00000000,1.09063200
154,9475.78000000,0.00111100,9499.03000000,0.01101800
155,9475.67000000,0.01423200,9499.29000000,0.01069800
156,9475.62000000,0.04900000,9499.40000000,0.01766400
157,9475.31000000,0.05000000,9499.45000000,0.01005300
158,9475.21000000,0.01050600,9499.50000000,0.00785100
159,9475.01000000,0.35946400,9499.52000000,0.01088000
160,9475.00000000,1.00647900,9499.54000000,0.00121000
161,9474.95000000,0.30900000,9499.60000000,0.02231400
162,9474.94000000,0.15600000,9499.62000000,0.01239500
163,9474.90000000,0.00889900,9499.64000000,0.00526300
164,9474.83000000,0.00752600,9499.67000000,0.01390300
165,9474.78000000,0.29100000,9499.72000000,0.01299600
166,9474.39000000,0.00300000,9499.78000000,0.31601500
167,9474.30000000,0.00202000,9499.80000000,0.00981300
168,9474.17000000,0.00519200,9499.89000000,0.07105200
169,9474.00000000,0.20601000,9499.90000000,0.12900000
170,9473.68000000,0.00120400,9499.91000000,0.82396800
171,9473.60000000,0.00116100,9499.92000000,0.02743000
172,9473.50000000,0.02772800,9499.96000000,0.02068400
173,9473.48000000,0.01271000,9499.98000000,0.00187800
174,9473.43000000,0.00187900,9499.99000000,0.21109400
175,9473.15000000,0.00375500,9500.00000000,39.70850500
176,9473.07000000,0.01221200,9500.02000000,0.00228300
